key,artist,song,duration_ms,length,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,Cleaned genre,Location
Attribute,Daft Punk,One More Time,320357,5.2,FALSE,2001,76,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,"hip hop, Dance/Electronic",hip hop,FR
Attribute,Outkast,Ms. Jackson,270506,4.31,TRUE,2000,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,"hip hop, pop",hip hop,US
Attribute,Dido,Thank You,218360,3.38,FALSE,1999,73,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop,pop,GB
Attribute,Jennifer Lopez,Play,211493,3.31,TRUE,2001,57,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,"hip hop, pop, R&B",hip hop,US
Attribute,Missy Elliott,Get Ur Freak On,211120,3.31,TRUE,2001,68,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B",hip hop,US
Attribute,Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,4.13,FALSE,2008,52,0.635,0.854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin",pop,PR
Attribute,Gorillaz,Clint Eastwood,340920,5.41,TRUE,2001,74,0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,hip hop,hip hop,GB
Attribute,2Pac,Until The End Of Time,266506,4.27,TRUE,2001,57,0.757,0.706,8,-6.665,1,0.203,0.0267,0,0.197,0.375,96.976,hip hop,hip hop,US
Attribute,Jennifer Lopez,Love Don't Cost a Thing,221226,3.41,FALSE,2001,67,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54E-06,0.473,0.685,97.577,"hip hop, pop, R&B",hip hop,US
Attribute,Usher,Pop Ya Collar - Radio Edit,210813,3.31,FALSE,2016,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12E-05,0.229,0.866,106.957,"hip hop, pop, R&B",hip hop,US
Attribute,Madonna,Don't Tell Me,280973,4.41,FALSE,2000,53,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop,pop,US
Attribute,Blue,If You Come Back,207560,3.28,FALSE,2001,58,0.582,0.707,10,-4.487,1,0.0319,0.0822,0,0.0467,0.701,78.375,pop,pop,GB
Attribute,Jagged Edge,Promise,246720,4.07,FALSE,2000,56,0.751,0.568,5,-5.431,0,0.0872,0.136,0,0.0288,0.646,128.002,"hip hop, pop, R&B",hip hop,GB
Attribute,Lenny Kravitz,Again,231666,3.52,FALSE,2000,68,0.55,0.804,2,-5.218,1,0.0271,0.0148,4.33E-05,0.105,0.789,79.166,"rock, pop",rock,US
Attribute,Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,2.42,FALSE,2002,46,0.836,0.762,7,-5.044,0,0.0598,0.0826,5.48E-05,0.102,0.941,133.592,pop,pop,GB
Attribute,Destiny's Child,"Independent Women, Pt. 1",221133,3.41,FALSE,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B",pop,US
Attribute,Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,4.22,TRUE,2001,66,0.708,0.587,11,-7.93,0,0.151,0.273,0,0.0718,0.554,83.46,"hip hop, pop, R&B",hip hop,US
Attribute,Robbie Williams,Eternity,302760,5.03,FALSE,2001,48,0.469,0.316,10,-8.106,1,0.0265,0.504,6.04E-06,0.0919,0.199,77.967,"pop, rock",pop,GB
Attribute,Ludacris,Southern Hospitality (Featuring Pharrell),300933,5.01,TRUE,2000,54,0.623,0.896,0,-4.719,1,0.247,0.035,0,0.0941,0.613,95.158,"hip hop, pop",hip hop,US
Attribute,Nelly,Ride Wit Me,291781,4.52,TRUE,2000,75,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.80E-06,0.244,0.722,101.875,"hip hop, pop, R&B",hip hop,US
Attribute,Gabrielle,Out Of Reach,196986,3.17,FALSE,2001,69,0.51,0.48,11,-6.567,1,0.0452,0.503,0,0.106,0.496,182.862,"pop, R&B",pop,GB
Attribute,Ginuwine,Differences,265533,4.26,FALSE,2001,65,0.562,0.594,3,-4.578,0,0.0558,0.318,0,0.311,0.423,62.876,"hip hop, pop, R&B",hip hop,US
Attribute,Nelly,Dilemma,289160,4.49,TRUE,2002,77,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,"hip hop, pop, R&B",hip hop,US
Attribute,The Calling,Wherever You Will Go,208600,3.29,FALSE,2001,72,0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,pop,pop,US
Attribute,Shakira,Underneath Your Clothes,224066,3.44,FALSE,2001,64,0.616,0.597,8,-5.328,1,0.0415,0.691,0,0.104,0.362,165.508,"pop, latin",pop,CO
Attribute,Eminem,'Till I Collapse,297786,4.58,TRUE,2002,85,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,hip hop,hip hop,US
Attribute,Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,4.46,FALSE,2004,69,0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.779,199.764,"hip hop, pop",hip hop,US
Attribute,Linkin Park,In the End,216880,3.37,FALSE,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal",rock,US
Attribute,Marilyn Manson,Tainted Love,200426,3.2,FALSE,2003,60,0.622,0.876,8,-7.779,1,0.0728,0.00107,1.83E-06,0.292,0.537,142.017,"rock, metal",rock,US
Attribute,Missy Elliott,4 My People (feat. Eve),289373,4.49,TRUE,2001,49,0.969,0.701,1,-7.503,1,0.156,0.14,0.00161,0.201,0.905,121.392,"hip hop, pop, R&B",hip hop,US
Attribute,Blue,One Love,207186,3.27,FALSE,2002,60,0.683,0.722,8,-4.039,0,0.0358,0.0243,4.20E-05,0.35,0.854,95.012,pop,pop,GB
Attribute,Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,3.59,TRUE,2001,55,0.697,0.793,6,-4.699,0,0.323,0.0844,0,0.0619,0.56,89.767,"hip hop, pop",hip hop,US
Attribute,Scooter,Nessaja,208449,3.28,FALSE,2013,47,0.486,0.904,2,-6.642,1,0.0364,0.000748,0.0984,0.187,0.118,143.048,"pop, Dance/Electronic",pop,DE
Attribute,Kylie Minogue,Spinning Around,207866,3.28,FALSE,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043,"pop, Dance/Electronic",pop,AU
Attribute,Christina Aguilera,Dirrty (feat. Redman),298853,4.59,FALSE,2002,68,0.64,0.889,2,-3.073,1,0.322,0.107,0,0.339,0.436,99.931,pop,pop,US
Attribute,Red Hot Chili Peppers,Can't Stop,269000,4.29,FALSE,2002,80,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,rock,rock,US
Attribute,Sean Paul,Gimme the Light,228000,3.48,TRUE,2002,59,0.778,0.761,2,-5.529,1,0.0525,0.141,4.61E-05,0.0441,0.923,107.288,"hip hop, pop",hip hop,JM
Attribute,Faith Evans,I Love You,267160,4.27,FALSE,2001,53,0.489,0.757,11,-4.062,0,0.0926,0.00981,0,0.234,0.567,168.004,"hip hop, pop, R&B",hip hop,US
Attribute,Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,4.29,FALSE,2005,63,0.66,0.707,6,-5.758,1,0.208,0.397,0,0.211,0.761,89.279,"hip hop, pop",hip hop,US
Attribute,Justin Timberlake,Like I Love You,283626,4.44,FALSE,2002,62,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,pop,pop,US
Attribute,Mary J. Blige,Rainy Dayz,276373,4.36,FALSE,2001,32,0.412,0.667,6,-6.997,1,0.229,0.195,0,0.305,0.533,68.942,"pop, R&B",pop,US
Attribute,Eminem,Cleanin' Out My Closet,297840,4.58,TRUE,2002,71,0.908,0.758,9,-4.753,0,0.174,0.0687,0,0.0783,0.87,148.015,hip hop,hip hop,US
Attribute,P!nk,Get the Party Started,192533,3.13,FALSE,2001,68,0.802,0.903,11,-3.267,0,0.046,0.0011,0,0.173,0.96,128.93,pop,pop,US
Attribute,Alicia Keys,A Woman's Worth,303333,5.03,FALSE,2001,52,0.652,0.41,4,-8.323,0,0.158,0.333,0,0.064,0.495,75.09,"pop, R&B",pop,US
Attribute,Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,2.41,FALSE,2002,56,0.838,0.764,7,-5.076,0,0.0586,0.0862,0.000122,0.0906,0.924,133.592,pop,pop,GB
Attribute,Coldplay,Clocks,307879,5.08,FALSE,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop",rock,GB
Attribute,Missy Elliott,Work It,263226,4.23,TRUE,2002,70,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,"hip hop, pop, R&B",hip hop,US
Attribute,Avril Lavigne,Sk8er Boi,204000,3.24,FALSE,2002,75,0.487,0.9,0,-4.417,1,0.0482,6.79E-05,0,0.358,0.484,149.937,pop,pop,CA
Attribute,Red Hot Chili Peppers,By the Way,216933,3.37,FALSE,2002,73,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,rock,rock,US
Attribute,Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,3.32,FALSE,2002,60,0.597,0.97,4,-5.972,0,0.0502,0.000385,0.205,0.133,0.717,114.999,"rock, easy listening",rock,US
Attribute,Daniel Bedingfield,If You're Not The One,257026,4.17,FALSE,2002,58,0.688,0.538,10,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,pop,pop,GB
Attribute,Coldplay,In My Place,226680,3.47,FALSE,2002,72,0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95E-06,0.298,0.193,144.636,"rock, pop",rock,GB
Attribute,50 Cent,In Da Club,193466,3.13,TRUE,2003,81,0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,"hip hop, pop",hip hop,US
Attribute,50 Cent,P.I.M.P.,249480,4.09,TRUE,2003,76,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35E-06,0.0368,0.848,84.722,"hip hop, pop",hip hop,US
Attribute,Linkin Park,Faint,162600,2.43,FALSE,2003,72,0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,"rock, metal",rock,US
Attribute,DMX,X Gon' Give It To Ya,217586,3.38,TRUE,2007,70,0.761,0.899,10,-3.09,0,0.183,0.0135,0,0.0719,0.673,95.027,"hip hop, pop",hip hop,US
Attribute,Craig David,Rise & Fall (feat. Sting),287226,4.47,FALSE,2002,59,0.405,0.589,6,-7.51,0,0.0586,0.252,0,0.661,0.808,83.373,"hip hop, pop, R&B",hip hop,GB
Attribute,Delta Goodrem,Lost Without You,248546,4.09,FALSE,2003,54,0.581,0.747,7,-6.682,1,0.0283,0.0365,1.69E-06,0.193,0.514,146.301,pop,pop,AU
Attribute,Justin Timberlake,Rock Your Body,267266,4.27,FALSE,2002,76,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,pop,pop,US
Attribute,Beyonc̩,Baby Boy (feat. Sean Paul),244826,4.05,FALSE,2003,63,0.655,0.488,1,-9.17,1,0.22,0.0825,1.16E-06,0.221,0.791,91.025,"pop, R&B",pop,US
Attribute,Nickelback,Someday,207466,3.27,FALSE,2003,68,0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,"rock, metal",rock,CA
Attribute,Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,4.54,FALSE,2016,52,0.527,0.808,1,-4.749,1,0.295,0.176,0,0.169,0.907,87.025,"hip hop, pop, R&B",hip hop,US
Attribute,Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,3.57,TRUE,2003,67,0.894,0.404,9,-5.913,0,0.13,0.453,1.57E-06,0.0801,0.759,102.009,"hip hop, pop",hip hop,US
Attribute,Missy Elliott,Gossip Folks (feat. Ludacris),234893,3.55,TRUE,2002,57,0.707,0.538,0,-5.264,1,0.505,0.362,0,0.317,0.439,121.732,"hip hop, pop, R&B",hip hop,US
Attribute,Coldplay,Clocks,307879,5.08,FALSE,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop",rock,GB
Attribute,Missy Elliott,Work It,263226,4.23,TRUE,2002,70,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,"hip hop, pop, R&B",hip hop,US
